phecode	beta	SE	chisq	OR	p	n.cases	n.var.cases	n.controls	n.var.controls	case.ctrl_ratio	firth_correct
530.7	0.123241380832979	0.98574033379194	0.0156310465759252	1.131157427719	0.90050440451978	386	1	321742	731	0.00119971902953298	FALSE
705.3	0.762174418046618	0.967121639854233	0.621078554754735	2.14293078555051	0.430646770489217	205	1	368770	841	0.000555902052770019	FALSE
1007	0.242965650033366	0.973691492054048	0.0622654320792449	1.275024826306	0.80295051072669	344	1	378833	867	0.000908051832865669	FALSE
150	-1.0372280772766	0.972942163826845	1.13651318817884	0.354435790173271	0.286390315837409	1185	1	355167	811	0.0033364586236897	FALSE
695	0.0341741654948451	0.335794953791863	0.010357322652611	1.03476481136037	0.918938498523443	3860	9	369135	838	0.0104568789196364	FALSE
567	-1.15073618471373	0.984545633533947	1.36609165510015	0.316403752012068	0.242484528101172	1366	1	347971	799	0.00392561449086274	FALSE
427.7	-0.300998753327211	0.380415657769292	0.626055197803429	0.740078695382104	0.428805996164401	4276	7	338411	763	0.0126355230769685	FALSE
338	-1.01619610107357	0.981408408038375	1.07214987617527	0.361969219030706	0.300460344175804	1236	1	377941	867	0.00327035172156501	FALSE
609.2	0.941016926450747	0.978984196685751	0.923939444360174	2.56258605528464	0.336442724394293	162	1	146675	346	0.0011044826998466	FALSE
396	0.222121896898076	0.410854666383446	0.292284846128687	1.24872358411882	0.588760053934507	2127	6	365506	835	0.00581932991524079	FALSE
850	0.29010962102318	0.216741115293367	1.79160248373289	1.33657399660418	0.180731038121855	7247	22	354810	805	0.0204250162058567	FALSE
300.12	0.525375947680564	0.411129005697765	1.63299230017865	1.6910944919391	0.201289670470301	1502	6	313303	727	0.00479408112913059	FALSE
790.1	1.36076850826824	0.971965629763564	1.96004789753968	3.89918870941265	0.161508196005014	108	1	367047	839	0.000294240247161808	FALSE
709.7	0.579497307380611	0.304515025286148	3.62147417105981	1.78514082804102	0.0570383109506176	2745	11	365610	825	0.00750800032821859	FALSE
592.2	0.953408730468493	0.979428941864762	0.947572356698365	2.59453868595125	0.330338003753794	161	1	341665	780	0.000471221810838102	FALSE
627.3	0.865615332291916	0.421465535359034	4.21818620653903	2.37646795363637	0.0399928898567129	1461	7	174909	374	0.00835291494434249	TRUE
378.5	1.06136043286049	0.578117908179127	3.37048921125267	2.89030037543633	0.0663740430250771	457	3	365185	840	0.00125142051289073	FALSE
729	-0.779199864157272	0.707573191477342	1.21270452006576	0.458772945164281	0.270797159317172	1933	2	352392	802	0.00548536856682331	FALSE
